Unit 3: Music - Vocabulary - Các từ vựng liên quan đến âm nhạc 

bamboo clapper (n)		 /ˌbæmˈbuː ˈklæpə(r)/ 		: phách
comment (n)			 /ˈkɒment/ 			: lời bình luận
competition (n)		 /ˌkɒmpəˈtɪʃn/ 			: cuộc tranh tài, cuộc thi
concert (n)			 /ˈkɒnsət/ 			: buổi hòa nhạc
decoration (n)			 /ˌdekəˈreɪʃn/ 			: việc trang trí
delay (v)			 /dɪˈleɪ/ 			: hoãn lại
eliminate (v)			 /ɪˈlɪmɪneɪt/ 			: loại ra, loại trừ
judge (n)			 /dʒʌdʒ/ 			: giám khảo
live (adj, adv)			 /laɪv/				: trực tiếp
location (n)			 /ləʊˈkeɪʃn/ 			: vị trí, địa điểm
moon-shaped lute (n)		/muːn ʃeɪpt luːt/ 		: đàn nguyệt
musical instrument (n)	 /ˌmjuːzɪkl ˈɪnstrəmənt/ 	: nhạc cụ
participant (n)			 /pɑːˈtɪsɪpənt/			: người tham dự, thí sinh
performance (n)		 /pəˈfɔːməns/ 			: buổi biểu diễn, buổi trình diễn
reach (v)			 /riːtʃ/ 				: đạt được
single (n)			 /ˈsɪŋɡl/ 			: đĩa đơn
social media (n)		 /ˈsəʊʃl ˈmiːdiə/ 		: mạng xã hội
talented (adj)			 /ˈtæləntɪd/ 			: tài năng
trumpet (n)			 /ˈtrʌmpɪt/			: kèn trumpet
upload (v)			 /ˌʌpˈləʊd/ 			: tải lên
